               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10249,            0.039263,             0.02598,             0.18103,             0.17804,             0.13015,            0.031752,            0.070612,            0.035924,            0.019885,              0.0029,              0.0029,              0.0739
                   1,            0.082123,            0.041586,            0.015228,            0.038989,             0.44359,            0.021096,           0.0038817,            0.087449,            0.028552,           0.0086613,           0.0057053,           0.0057053,            0.046705
                   2,             0.08092,            0.037838,           0.0082895,            0.053002,             0.26253,            0.032019,           0.0059599,            0.091464,            0.027586,           0.0051724,           0.0083126,           0.0083126,            0.019313
                   3,            0.080182,            0.032175,           0.0062783,             0.68839,               0.242,             0.15992,            0.027849,            0.075185,            0.034133,            0.010466,             0.00901,             0.00901,             0.00901
                   4,            0.070123,            0.032071,           0.0050048,             0.73048,             0.33902,             0.28914,            0.054371,            0.069213,            0.031484,            0.003724,             0.00901,             0.00901,             0.00901
                   5,            0.066488,            0.030278,           0.0038503,             0.39774,             0.69168,             0.58435,               0.196,            0.057001,            0.024565,            0.002091,             0.00868,             0.00868,             0.00868
                   6,            0.057093,              0.0301,           0.0035012,              0.9461,             0.41791,             0.59199,             0.14644,             0.05514,            0.024688,           0.0025383,             0.00835,             0.00835,             0.00835
                   7,            0.054039,            0.030078,           0.0029602,             0.58391,             0.72522,             0.69162,             0.29255,            0.040517,            0.027132,           0.0017748,             0.00802,             0.00802,             0.00802
                   8,            0.047469,            0.029346,           0.0021164,             0.71366,             0.75653,             0.76705,             0.34015,            0.042798,            0.023813,           0.0017605,             0.00769,             0.00769,             0.00769
                   9,            0.046449,            0.027528,           0.0020198,             0.77681,              0.6977,             0.72842,             0.26969,            0.042131,            0.023366,           0.0017275,             0.00736,             0.00736,             0.00736
                  10,            0.044074,            0.025847,           0.0018132,                0.82,             0.75663,             0.77006,              0.3282,            0.038204,            0.019969,           0.0015331,             0.00703,             0.00703,             0.00703
                  11,            0.043442,            0.026485,           0.0022235,             0.83712,             0.79809,             0.83201,             0.31367,            0.038367,            0.019769,            0.001351,              0.0067,              0.0067,              0.0067
                  12,            0.041375,            0.026784,           0.0016302,             0.79885,             0.76364,             0.75297,             0.30231,            0.036741,            0.020254,           0.0014653,             0.00637,             0.00637,             0.00637
                  13,            0.039502,            0.025237,           0.0018351,             0.93345,             0.90736,             0.91982,             0.37551,            0.035175,            0.017918,           0.0011948,             0.00604,             0.00604,             0.00604
                  14,            0.038358,            0.024835,           0.0015212,             0.91318,             0.91408,             0.91623,             0.44254,            0.031436,             0.01768,           0.0011709,             0.00571,             0.00571,             0.00571
                  15,             0.03694,            0.024824,           0.0014209,             0.88531,              0.8622,              0.8869,             0.41765,            0.032822,             0.01831,           0.0010603,             0.00538,             0.00538,             0.00538
                  16,             0.03657,              0.0253,           0.0016091,             0.91104,             0.89173,             0.91197,              0.4492,            0.031076,            0.017644,           0.0010035,             0.00505,             0.00505,             0.00505
                  17,            0.036042,            0.023561,           0.0011422,             0.88464,             0.90279,             0.89765,             0.44821,            0.030551,            0.017532,           0.0010042,             0.00472,             0.00472,             0.00472
                  18,            0.034926,            0.024309,            0.001099,              0.9236,             0.92199,             0.92793,             0.48281,            0.029092,            0.017115,          0.00099884,             0.00439,             0.00439,             0.00439
                  19,            0.034917,             0.02457,           0.0014511,             0.94828,             0.94866,             0.95638,              0.5069,            0.028385,            0.016446,           0.0008749,             0.00406,             0.00406,             0.00406
                  20,            0.033767,            0.024438,           0.0010056,             0.94587,             0.94003,             0.95306,               0.462,            0.029273,            0.016459,          0.00080242,             0.00373,             0.00373,             0.00373
                  21,            0.031883,            0.022627,          0.00077809,             0.93902,              0.9295,             0.94534,             0.51305,            0.028174,            0.016679,          0.00076267,              0.0034,              0.0034,              0.0034
                  22,            0.032701,            0.023516,           0.0012432,             0.95751,             0.94544,             0.95333,             0.52023,            0.027492,            0.016267,           0.0007255,             0.00307,             0.00307,             0.00307
                  23,            0.032092,            0.022877,           0.0015748,             0.93641,             0.92827,             0.94295,             0.51729,             0.02752,            0.016508,          0.00067285,             0.00274,             0.00274,             0.00274
                  24,            0.031317,            0.022776,          0.00099892,             0.95635,             0.94873,             0.95655,             0.53263,            0.027391,            0.015787,          0.00064569,             0.00241,             0.00241,             0.00241
                  25,            0.031136,            0.022669,           0.0008951,              0.9422,             0.95084,             0.95171,             0.50009,             0.03011,            0.016046,          0.00065924,             0.00208,             0.00208,             0.00208
                  26,            0.030314,            0.022257,           0.0005997,             0.95938,             0.96368,             0.96665,             0.54482,            0.026305,            0.015687,          0.00060973,             0.00175,             0.00175,             0.00175
                  27,            0.029725,            0.022224,          0.00085143,             0.96091,             0.96757,             0.96953,             0.56564,            0.025503,            0.015182,          0.00056294,             0.00142,             0.00142,             0.00142
                  28,             0.02941,            0.022191,          0.00062013,             0.97088,             0.96262,               0.976,             0.58369,            0.024954,            0.014955,          0.00055652,             0.00109,             0.00109,             0.00109
                  29,             0.03022,            0.021789,          0.00090941,              0.9758,             0.97864,             0.98433,             0.59918,            0.024523,            0.014528,          0.00054945,             0.00076,             0.00076,             0.00076
