seq,filename,class,prob,width,height,xmin,ymin,xmax,ymax
0,01bb4d03ce87e7133e292cf1f3e901e3.jpg,Macula,0.9994755387306213,640,480,448,115,550,217
1,01bb4d03ce87e7133e292cf1f3e901e3.jpg,OpticDisk,0.9972411394119263,640,480,294,89,371,166
2,0519cd0f02078c263f8be17e372ff017.jpg,OpticDisk,0.9960542917251587,720,480,435,140,512,217
3,0a61e7f1edbe215fab6e9b6eae5283e5.jpg,Macula,0.9842991828918457,640,480,166,332,268,435
4,0a61e7f1edbe215fab6e9b6eae5283e5.jpg,Macula,0.8576681613922119,640,480,243,204,345,307
5,0a61e7f1edbe215fab6e9b6eae5283e5.jpg,OpticDisk,0.9981525540351868,640,480,499,192,576,268
6,0ba2c875efc78380549d507a1df707ac.jpg,OpticDisk,0.9980255365371704,720,480,204,268,281,345
7,1083da1da8c3103f9751dc9899482ca3.jpg,OpticDisk,0.9988760352134705,720,480,320,384,384,448
8,10c8e0c756222925d75382bb904b1d75.jpg,Macula,0.9695742130279541,640,480,89,128,192,230
9,15fce9b6aca5a9c0c9207460f3a8d802.jpg,OpticDisk,0.9965644478797913,640,480,281,76,358,153
10,1eab1d645058eaaff23f688346df542e.jpg,OpticDisk,0.9943987727165222,640,480,307,25,371,89
11,1eab1d645058eaaff23f688346df542e.jpg,Macula,0.993787944316864,640,480,89,51,192,153
12,21e56d4b2cbc30ee11d4c821426dfd40.jpg,Macula,0.9985938668251038,640,480,230,128,332,230
13,21e56d4b2cbc30ee11d4c821426dfd40.jpg,OpticDisk,0.9940112233161926,640,480,76,140,153,217
14,273148c14b09313186900b60807d2f91.jpg,Macula,0.9958469271659851,720,480,204,256,307,358
15,273148c14b09313186900b60807d2f91.jpg,Macula,0.9391909837722778,720,480,128,268,230,371
16,273148c14b09313186900b60807d2f91.jpg,OpticDisk,0.9964497089385986,720,480,409,243,473,320
17,2b07ec436b3617cebc2e6132fa072918.jpg,OpticDisk,0.9973042011260986,640,480,179,204,256,281
18,2b07ec436b3617cebc2e6132fa072918.jpg,Macula,0.9185489416122437,640,480,473,396,576,460
19,2e45e6eff51fb0f9d87b45326c816804.jpg,Macula,0.9945819973945618,720,480,102,268,204,371
20,2e45e6eff51fb0f9d87b45326c816804.jpg,OpticDisk,0.9998887777328491,720,480,281,281,345,345
21,3223b533d0d759fb6591cc663a96a14b.jpg,Macula,0.900740385055542,720,480,128,0,217,76
22,3223b533d0d759fb6591cc663a96a14b.jpg,OpticDisk,0.9977152347564697,720,480,320,89,384,153
23,335dd9fed318b9d258922de033df3482.jpg,Macula,0.965675950050354,640,480,371,166,473,268
24,343472476cf19c6e2192ac156cdcfdcd.jpg,OpticDisk,0.9995846152305603,720,480,115,51,179,115
25,35c3e26ba8a8f1744f24df4f389321cc.jpg,Macula,0.994946300983429,720,480,268,243,371,345
26,35c3e26ba8a8f1744f24df4f389321cc.jpg,OpticDisk,0.9980263113975525,720,480,460,256,537,332
27,3750c476fe8c813182c9c6e65585360e.jpg,Macula,0.920214056968689,640,480,102,243,204,345
28,3750c476fe8c813182c9c6e65585360e.jpg,OpticDisk,0.9993519186973572,640,480,320,243,384,307
29,39edcff6f000a23b13dda921114eb548.jpg,OpticDisk,0.99381023645401,640,480,140,268,230,358
30,3a1b999f0babaa3ca8072eba081b89b9.jpg,Macula,0.9902158975601196,720,480,128,217,230,320
31,3a1b999f0babaa3ca8072eba081b89b9.jpg,Macula,0.9785792231559753,720,480,384,89,486,192
32,3a1b999f0babaa3ca8072eba081b89b9.jpg,Macula,0.8123934268951416,720,480,294,166,396,268
33,480fcc00908e489222a2104e4bd34d63.jpg,OpticDisk,0.993186354637146,640,480,192,0,268,64
34,50e483b77cb0907f09957aec5346abe7.jpg,OpticDisk,0.9982202649116516,640,480,371,166,435,230
35,59b7cf439fa90f480762ce76348051e8.jpg,OpticDisk,0.9996390342712402,720,480,550,166,627,243
36,59b7cf439fa90f480762ce76348051e8.jpg,Macula,0.9543635845184326,720,480,294,204,486,307
37,59b7cf439fa90f480762ce76348051e8.jpg,Macula,0.8327105045318604,720,480,166,128,268,230
38,612a4f3b3161fdfc2879c2dbcb41984f.jpg,OpticDisk,0.9814619421958923,720,480,460,179,537,256
39,612a4f3b3161fdfc2879c2dbcb41984f.jpg,Macula,0.9400063157081604,720,480,294,179,396,281
40,63bad021f251cb3a8cd65132e431352d.jpg,Macula,0.9792793989181519,640,480,217,217,320,320
41,63bad021f251cb3a8cd65132e431352d.jpg,OpticDisk,0.8356820344924927,640,480,396,230,473,307
42,66d37c48742909ffcfbe2bf67e7c096c.jpg,OpticDisk,0.9988760352134705,720,480,486,268,550,332
43,66eb3549c34d0817ba33f8b936fbfef3.jpg,OpticDisk,0.9876583218574524,720,480,179,115,256,192
44,68d8b5a89ad64b252f64c56c754f82c8.jpg,OpticDisk,0.9944808483123779,720,480,217,217,294,294
45,702dc07f8e3aa7adb526b3f2548fc0da.jpg,OpticDisk,0.9990313053131104,720,480,230,166,307,243
46,702dc07f8e3aa7adb526b3f2548fc0da.jpg,Macula,0.9284868836402893,720,480,51,243,140,332
47,75a7d54572dd8da4aa3ef91448e2bbb4.jpg,OpticDisk,0.9785706400871277,720,480,25,217,102,294
48,75a7d54572dd8da4aa3ef91448e2bbb4.jpg,Macula,0.9924378991127014,720,480,128,204,230,307
49,776d5c872f471b48a726ee1817626be6.jpg,OpticDisk,0.9550206065177917,640,480,281,128,371,217
50,77f8fe1dbb60ce0a2a5ee3d90779ee92.jpg,OpticDisk,0.9975563287734985,720,480,601,243,678,320
51,77f8fe1dbb60ce0a2a5ee3d90779ee92.jpg,Macula,0.9803794622421265,720,480,345,217,448,320
52,7fdda56e8f935260a8aaf7c468b04515.jpg,OpticDisk,0.9991514682769775,640,480,281,166,358,243
53,81dc6621ce928e4a65ebcb1473dbed05.jpg,OpticDisk,0.9748697280883789,720,480,358,345,448,422
54,853a074ea669e32ed6b1a7d0962fcdaf.jpg,OpticDisk,0.9971080422401428,720,480,576,192,640,256
55,853a074ea669e32ed6b1a7d0962fcdaf.jpg,Macula,0.9905984997749329,720,480,332,192,435,294
56,853a074ea669e32ed6b1a7d0962fcdaf.jpg,Macula,0.9086449146270752,720,480,243,140,345,243
57,8c004c212b5b6510900646adb59fc941.jpg,OpticDisk,0.9902952909469604,720,480,89,281,166,358
58,8e67e9d22adea8e625248091878699bd.jpg,Macula,0.9790511131286621,720,480,179,128,281,230
59,8e67e9d22adea8e625248091878699bd.jpg,OpticDisk,0.9851212501525879,720,480,25,166,102,243
60,8fbf1d1b9582ecce739baed2de68a90a.jpg,OpticDisk,0.999428927898407,720,480,268,179,332,243
61,929db33690e7582876de933824a2810a.jpg,Macula,0.9166824817657471,640,480,102,409,204,460
62,929db33690e7582876de933824a2810a.jpg,OpticDisk,0.9884825348854065,640,480,345,217,409,281
63,93f59319bbbe3195354ca66d15ee573f.jpg,OpticDisk,0.9977874755859375,640,480,0,217,64,294
64,93f59319bbbe3195354ca66d15ee573f.jpg,Macula,0.9797778129577637,640,480,140,230,243,332
65,c83d965ece2aa7f7548d2462ba8c3ab2.jpg,Macula,0.9489353895187378,720,480,0,294,89,384
66,c83d965ece2aa7f7548d2462ba8c3ab2.jpg,Macula,0.9166069626808167,720,480,128,345,204,435
67,c83d965ece2aa7f7548d2462ba8c3ab2.jpg,OpticDisk,0.9909051656723022,720,480,243,307,320,384
68,ce6b5f8904abe4863b385a33c50d53de.jpg,OpticDisk,0.9839587211608887,720,480,128,320,204,396
69,d39afd92e8bc9707515eda53e97d9552.jpg,OpticDisk,0.9996939897537231,720,480,550,256,614,320
70,db8a11191eb4232a27e10a1ad1f23ac7.jpg,OpticDisk,0.9985923171043396,720,480,396,204,473,281
71,ef0acd580b53e3ce8ba1c80df672bd78.jpg,Macula,0.9654663801193237,720,480,12,153,115,256
72,ef0acd580b53e3ce8ba1c80df672bd78.jpg,OpticDisk,0.9997482895851135,720,480,217,166,281,230
73,f5288d971fd54e562e2c81b9d1220667.jpg,OpticDisk,0.9996628761291504,720,480,409,230,486,307
74,f73e60833735a6f8925d46f2a61412d0.jpg,OpticDisk,0.9961131811141968,720,480,76,204,153,281
75,f73e60833735a6f8925d46f2a61412d0.jpg,Macula,0.9088627696037292,720,480,256,192,358,294
