seq,filename,class,prob,width,height,xmin,ymin,xmax,ymax
0,OD-d3534611-5edb-456b-a13c-af3bfad64c31.1.png,Macula,0.9920288,640,480,140,256,243,358
1,OS-d3534611-5edb-456b-a13c-af3bfad64c31.17.png,Macula,0.9638906,640,480,307,230,409,332
2,OS-d3534611-5edb-456b-a13c-af3bfad64c31.18.png,OpticDisk,0.9993149,640,480,12,192,76,256
3,OS-d3534611-5edb-456b-a13c-af3bfad64c31.18.png,Macula,0.8018904,640,480,217,217,320,320
4,OS-d3534611-5edb-456b-a13c-af3bfad64c31.22.png,Macula,0.8383471,640,480,268,332,371,435
5,OD-1fe9f3a2-56c9-47f4-a300-bfb0b46e324e.11.png,Macula,0.99854726,640,480,332,102,435,204
6,OD-1fe9f3a2-56c9-47f4-a300-bfb0b46e324e.8.png,Macula,0.9983039,640,480,345,179,448,281
7,OD-1fe9f3a2-56c9-47f4-a300-bfb0b46e324e.8.png,Macula,0.9935715,640,480,230,294,332,396
8,OS-1fe9f3a2-56c9-47f4-a300-bfb0b46e324e.26.png,Macula,0.9818611,640,480,422,179,524,281
9,OS-1fe9f3a2-56c9-47f4-a300-bfb0b46e324e.26.png,Macula,0.83385104,640,480,243,217,345,320
10,OS-1fe9f3a2-56c9-47f4-a300-bfb0b46e324e.26.png,OpticDisk,0.94950306,640,480,89,230,166,320
11,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.1.png,Macula,0.99934727,640,480,179,153,281,256
12,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.1.png,Macula,0.9175488,640,480,230,384,345,460
13,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.1.png,OpticDisk,0.90825397,640,480,384,153,460,230
14,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.10.png,Macula,0.9764583,640,480,422,230,524,332
15,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.10.png,Macula,0.9086443,640,480,307,243,409,345
16,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.10.png,Macula,0.8404504,640,480,384,0,486,89
17,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.10.png,Macula,0.80545765,640,480,256,0,345,76
18,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.11.png,Macula,0.9473619,640,480,332,166,435,268
19,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.11.png,OpticDisk,0.85724294,640,480,550,192,627,268
20,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.12.png,Macula,0.99045557,640,480,128,102,230,204
21,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.12.png,Macula,0.97302204,640,480,307,166,409,268
22,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.12.png,Macula,0.93442,640,480,409,89,512,192
23,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.12.png,Macula,0.9099206,640,480,371,294,473,396
24,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.12.png,Macula,0.80413026,640,480,243,179,345,281
25,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.2.png,OpticDisk,0.95363325,640,480,563,268,627,345
26,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.2.png,Macula,0.986134,640,480,204,332,307,435
27,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.2.png,Macula,0.92159367,640,480,256,0,358,76
28,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.2.png,Macula,0.92043996,640,480,371,268,473,371
29,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.2.png,Macula,0.908132,640,480,307,204,409,307
30,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.3.png,Macula,0.98158354,640,480,281,0,486,102
31,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.3.png,Macula,0.93972653,640,480,192,140,294,243
32,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.3.png,Macula,0.8775317,640,480,345,128,448,230
33,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.4.png,Macula,0.9835654,640,480,384,0,486,89
34,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.4.png,Macula,0.9683859,640,480,320,0,409,76
35,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.4.png,Macula,0.918919,640,480,307,320,409,422
36,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.4.png,OpticDisk,0.80991393,640,480,512,345,601,435
37,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.5.png,OpticDisk,0.974331,640,480,115,256,192,332
38,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.5.png,Macula,0.9950996,640,480,12,294,115,396
39,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.5.png,Macula,0.8658595,640,480,332,0,435,89
40,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.6.png,OpticDisk,0.9977848,640,480,192,38,256,115
41,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.7.png,Macula,0.9619533,640,480,243,102,345,204
42,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.9.png,Macula,0.9963536,640,480,396,102,499,204
43,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.9.png,Macula,0.98485965,640,480,320,0,524,102
44,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.9.png,Macula,0.9423283,640,480,256,192,358,294
45,OD-1b427822-01a1-4e4f-ab14-7069719ce2a5.9.png,Macula,0.9393991,640,480,243,0,345,89
46,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.13.png,OpticDisk,0.85231483,640,480,217,166,294,256
47,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.13.png,Macula,0.93351316,640,480,371,166,473,268
48,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.14.png,Macula,0.9994875,640,480,192,192,294,294
49,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.14.png,Macula,0.98988765,640,480,384,153,486,256
50,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.14.png,Macula,0.98741305,640,480,268,0,371,102
51,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.14.png,OpticDisk,0.9976821,640,480,38,204,115,281
52,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.15.png,Macula,0.9925109,640,480,243,268,345,371
53,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.15.png,Macula,0.905244,640,480,307,25,409,128
54,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.16.png,OpticDisk,0.9861314,640,480,166,371,243,448
55,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.17.png,OpticDisk,0.8725663,640,480,332,332,409,409
56,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.18.png,OpticDisk,0.96089,640,480,512,192,601,281
57,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.18.png,Macula,0.80143106,640,480,396,0,499,89
58,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.19.png,OpticDisk,0.98342866,640,480,460,128,537,204
59,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.19.png,Macula,0.9494792,640,480,332,140,435,243
60,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.20.png,OpticDisk,0.97661793,640,480,486,115,563,192
61,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.20.png,Macula,0.8784972,640,480,384,268,486,371
62,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.21.png,OpticDisk,0.9209142,640,480,409,64,486,153
63,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.21.png,Macula,0.9106343,640,480,486,320,588,422
64,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.22.png,OpticDisk,0.9822219,640,480,256,89,332,166
65,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.22.png,Macula,0.9888891,640,480,409,102,512,204
66,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.23.png,OpticDisk,0.9347994,640,480,217,115,307,204
67,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.23.png,Macula,0.948064,640,480,358,115,460,217
68,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.23.png,Macula,0.8838004,640,480,486,320,588,422
69,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.23.png,Macula,0.820243,640,480,409,25,512,128
70,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.24.png,OpticDisk,0.99212295,640,480,64,102,140,166
71,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.24.png,Macula,0.9673205,640,480,422,12,524,115
72,OS-1b427822-01a1-4e4f-ab14-7069719ce2a5.24.png,Macula,0.91945994,640,480,204,38,307,140
73,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.1.png,OpticDisk,0.98850703,640,480,409,115,486,192
74,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.1.png,OpticDisk,0.86771935,640,480,12,281,89,358
75,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.2.png,OpticDisk,0.9969291,640,480,512,256,588,332
76,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.2.png,Macula,0.9956573,640,480,332,320,435,422
77,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.4.png,Macula,0.9801616,640,480,294,243,396,345
78,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.4.png,Macula,0.9030575,640,480,115,153,217,256
79,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.5.png,OpticDisk,0.9954085,640,480,371,64,448,140
80,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.5.png,Macula,0.9952461,640,480,192,76,294,179
81,OD-39f77703-01fd-4a62-ae30-4157fefd7d3e.6.png,OpticDisk,0.9889115,640,480,204,153,281,230
