,seq,filename,class,prob,width,height,xmin,ymin,xmax,ymax
0,0,0233bf5091c42110f367bcba2e0ed80c.jpg,OpticDisk,0.9930863380432128,640,480,524,192,601,256
1,1,0233bf5091c42110f367bcba2e0ed80c.jpg,Macula,0.9787413477897644,640,480,332,230,435,332
3,3,0519cd0f02078c263f8be17e372ff017.jpg,Macula,0.974603235721588,720,480,576,128,678,230
4,4,0519cd0f02078c263f8be17e372ff017.jpg,OpticDisk,0.982897698879242,720,480,435,140,524,230
5,5,07bdd141e106217be44d11e0716af6f0.jpg,OpticDisk,0.9922020435333252,640,480,550,166,627,230
6,6,07bdd141e106217be44d11e0716af6f0.jpg,Macula,0.988581120967865,640,480,371,179,473,281
8,8,08664f44d41bea488531217d17818f49.jpg,Macula,0.9675976037979126,720,480,230,179,345,294
9,9,08664f44d41bea488531217d17818f49.jpg,OpticDisk,0.9986757636070251,720,480,76,166,153,243
10,10,0b150b5b76d138add494bdea33d71b15.jpg,OpticDisk,0.928633451461792,640,480,524,179,601,256
11,11,0b150b5b76d138add494bdea33d71b15.jpg,Macula,0.9039732813835144,640,480,332,153,435,256
12,12,0ba2c875efc78380549d507a1df707ac.jpg,Macula,0.9848226308822632,720,480,25,256,128,358
14,14,0ba2c875efc78380549d507a1df707ac.jpg,OpticDisk,0.992721140384674,720,480,204,256,281,332
15,15,0c5de1b595b90a3f29f5951ce0bb0da1.jpg,OpticDisk,0.9886000752449036,720,480,588,281,665,358
16,16,0d2449ab4bfb37567fe78f0fb8610ded.jpg,OpticDisk,0.997631311416626,720,480,217,230,294,307
17,17,0d2449ab4bfb37567fe78f0fb8610ded.jpg,Macula,0.8758317828178406,720,480,396,217,499,320
18,18,0f82c9693c24fdc2cae577836654f7de.jpg,OpticDisk,0.9969384670257568,640,480,25,217,89,281
19,19,0f82c9693c24fdc2cae577836654f7de.jpg,Macula,0.9798611402511596,640,480,204,166,307,268
21,21,12a624d5584d9535e73550e19990e03e.jpg,OpticDisk,0.9579967856407166,640,480,0,115,64,192
22,22,12a624d5584d9535e73550e19990e03e.jpg,Macula,0.9791300892829896,640,480,179,140,281,243
23,23,160930bbc89eccc7b8e06a6706324c40.jpg,Macula,0.9826917052268982,720,480,294,217,396,320
24,24,160930bbc89eccc7b8e06a6706324c40.jpg,OpticDisk,0.9984171390533448,720,480,115,217,192,294
25,25,1d0cbae1747d4e229c9f40e62d8b1a58.jpg,Macula,0.8775504231452942,640,480,179,115,281,217
27,27,1d0cbae1747d4e229c9f40e62d8b1a58.jpg,OpticDisk,0.993330419063568,640,480,358,153,435,230
28,28,1f438ea0dd88dd62840a7c8a673cd535.jpg,Macula,0.9526920914649964,640,480,25,204,128,307
29,29,1f438ea0dd88dd62840a7c8a673cd535.jpg,OpticDisk,0.9935539960861206,640,480,204,204,281,281
30,30,231ea3b6b1a3a1ce3dcd5f439933d17a.jpg,OpticDisk,0.9960033297538756,640,480,281,230,358,307
31,31,231ea3b6b1a3a1ce3dcd5f439933d17a.jpg,Macula,0.925631821155548,640,480,102,268,204,371
32,32,26bc51118542a2d19e4323062765b8e8.jpg,Macula,0.9799832701683044,720,480,486,320,665,422
34,34,26bc51118542a2d19e4323062765b8e8.jpg,OpticDisk,0.8801923394203186,720,480,332,396,422,460
38,38,298c171686d6883c33882890aedbf69d.jpg,OpticDisk,0.9471479654312134,640,480,384,12,460,89
39,39,2c8a55b2caa7f83c5f2a39f881c21cdb.jpg,OpticDisk,0.9778674840927124,640,480,499,230,576,307
40,40,2c8a55b2caa7f83c5f2a39f881c21cdb.jpg,Macula,0.9782258868217468,640,480,307,217,409,320
41,41,315f6bb5a5525376023bfb4ff13a1bdf.jpg,OpticDisk,0.9396908283233644,720,480,320,345,396,422
43,43,315f6bb5a5525376023bfb4ff13a1bdf.jpg,Macula,0.8894823789596558,720,480,473,345,588,448
44,44,3223b533d0d759fb6591cc663a96a14b.jpg,OpticDisk,0.9971303343772888,720,480,307,76,396,166
45,45,3223b533d0d759fb6591cc663a96a14b.jpg,Macula,0.9543085694313048,720,480,140,25,243,128
46,46,34f683206d98d5abaf2ff2b19155f14f.jpg,OpticDisk,0.9964247345924376,640,480,448,115,524,192
47,47,39edcff6f000a23b13dda921114eb548.jpg,OpticDisk,0.9911711812019348,640,480,140,281,217,358
49,49,3bdb93db908c1c6fc5e38178b9d10095.jpg,OpticDisk,0.9960518479347228,720,480,307,281,384,358
51,51,3bdb93db908c1c6fc5e38178b9d10095.jpg,Macula,0.8563903570175171,720,480,128,230,230,332
52,52,3f27e117d9a587a99ed763b97ce315eb.jpg,Macula,0.9214691519737244,640,480,166,179,268,281
53,53,3f27e117d9a587a99ed763b97ce315eb.jpg,OpticDisk,0.9658841490745544,640,480,12,179,89,256
54,54,40b066b77d6de95125f99d943d8cc8d3.jpg,OpticDisk,0.9823895692825316,720,480,243,256,307,320
55,55,40b066b77d6de95125f99d943d8cc8d3.jpg,Macula,0.9366695284843444,720,480,89,307,192,409
56,56,4fea62e17e285eb04a3122cb410c443e.jpg,Macula,0.98555588722229,640,480,512,217,614,320
57,57,4fea62e17e285eb04a3122cb410c443e.jpg,OpticDisk,0.9133822917938232,640,480,358,192,448,268
58,58,53960294fb1f9b52a8fdb27d19c18809.jpg,OpticDisk,0.9831402897834778,720,480,0,217,76,294
59,59,53960294fb1f9b52a8fdb27d19c18809.jpg,Macula,0.8092865347862244,720,480,179,192,281,294
60,60,5b73b3fd60cd2ae8972675be31b31db0.jpg,OpticDisk,0.9990079998970032,720,480,281,192,345,256
61,61,5b73b3fd60cd2ae8972675be31b31db0.jpg,Macula,0.9893203973770142,720,480,115,217,217,320
62,62,5c01483b5e1fede3149405eb45585f43.jpg,Macula,0.9928472638130188,720,480,358,166,460,268
63,63,5c01483b5e1fede3149405eb45585f43.jpg,OpticDisk,0.9975554347038268,720,480,192,179,281,268
64,64,5e7e38c67192a06fdabf8015a6690136.jpg,Macula,0.9917815327644348,640,480,140,204,256,307
65,65,69c736878886c89aad7f5a1cfc9b2334.jpg,OpticDisk,0.9974597096443176,640,480,320,128,396,204
68,68,69c736878886c89aad7f5a1cfc9b2334.jpg,Macula,0.824769139289856,640,480,537,115,627,217
69,69,6a25a1c711a2e43486661bc9359a471c.jpg,Macula,0.96147620677948,640,480,396,243,499,345
70,70,6a25a1c711a2e43486661bc9359a471c.jpg,OpticDisk,0.9175816774368286,640,480,256,268,345,358
71,71,6da6a21f02323ee576436590c8419bcf.jpg,OpticDisk,0.9949206709861756,720,480,524,204,601,281
72,72,6da6a21f02323ee576436590c8419bcf.jpg,Macula,0.9881673455238342,720,480,345,217,448,320
74,74,75a7d54572dd8da4aa3ef91448e2bbb4.jpg,Macula,0.9868003129959106,720,480,192,217,294,320
76,76,75a7d54572dd8da4aa3ef91448e2bbb4.jpg,OpticDisk,0.9696024656295776,720,480,12,204,89,281
77,77,7b0f11ff79c96e2bc18eb77e814f53a0.jpg,OpticDisk,0.9913100004196168,640,480,256,179,332,243
78,78,7b0f11ff79c96e2bc18eb77e814f53a0.jpg,Macula,0.9287959337234496,640,480,358,166,460,268
79,79,7c47417b15c96c5184ff960f1ad8ffdb.jpg,OpticDisk,0.9908763766288756,720,480,345,89,422,166
80,80,7c47417b15c96c5184ff960f1ad8ffdb.jpg,Macula,0.9771056175231934,720,480,499,64,601,166
81,81,851a5c87068541da0effee686227f5a5.jpg,OpticDisk,0.9986283779144288,640,480,332,204,396,268
83,83,851a5c87068541da0effee686227f5a5.jpg,Macula,0.9004273414611816,640,480,486,204,588,307
84,84,87bd194938095031c74b9a33f4b4fa2a.jpg,Macula,0.9660038948059082,640,480,192,217,294,320
85,85,87bd194938095031c74b9a33f4b4fa2a.jpg,OpticDisk,0.9799898266792296,640,480,38,294,128,371
86,86,881219015f3f7779c1bbc8b9de9f9b22.jpg,Macula,0.9904629588127136,720,480,179,179,281,281
87,87,881219015f3f7779c1bbc8b9de9f9b22.jpg,OpticDisk,0.9954320192337036,720,480,12,230,89,307
88,88,88d8c4df420c01ce603eef1e06d4060a.jpg,OpticDisk,0.992664396762848,720,480,0,243,51,320
89,89,88d8c4df420c01ce603eef1e06d4060a.jpg,Macula,0.9682871103286744,720,480,166,230,268,332
90,90,9398ab85538ddcf741c5a2b3d1547151.jpg,OpticDisk,0.9919276237487792,720,480,396,192,473,268
92,92,9a51544acea83c8e31e6164023a40370.jpg,OpticDisk,0.9986118078231812,640,480,396,140,473,204
93,93,9a51544acea83c8e31e6164023a40370.jpg,Macula,0.9470418691635132,640,480,204,153,307,256
94,94,9d03866708914389388ab5180664b33f.jpg,Macula,0.9844920635223388,640,480,473,230,576,332
95,95,9d03866708914389388ab5180664b33f.jpg,OpticDisk,0.9914284348487854,640,480,294,217,371,294
97,97,c6be5d36d2131cba7e33d7e45f3c6e0c.jpg,Macula,0.8243779540061951,720,480,320,140,422,243
98,98,c6be5d36d2131cba7e33d7e45f3c6e0c.jpg,OpticDisk,0.9993594288825988,720,480,563,140,640,217
99,99,d78acd2769c339face89e5c7aa03256f.jpg,Macula,0.9612286686897278,720,480,448,217,550,320
101,101,dd53065b0c645514829687579bc03c78.jpg,OpticDisk,0.9803318977355956,720,480,230,256,307,332
102,102,dd53065b0c645514829687579bc03c78.jpg,Macula,0.9374781847000122,720,480,396,243,499,345
105,105,e30cb045e04b50ad0c52e9f0423ebdd6.jpg,Macula,0.9197657108306884,720,480,153,89,256,192
106,106,e30cb045e04b50ad0c52e9f0423ebdd6.jpg,OpticDisk,0.9893457293510436,720,480,320,64,396,140
107,107,f75590286c066f25bea1facf8d7eae66.jpg,OpticDisk,0.9824768304824828,720,480,307,384,384,460
